
PC = 2e96	OPC = 042e96	RA = 0	CY = 1	IPL = 0	CD = 0	0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2e98	OPC = 244440	RA = 0	CY = 2	IPL = 0	CD = 0	4444 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2e9a	OPC = 8804a0	RA = 0	CY = 3	IPL = 0	CD = 0	4444 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2e9c	OPC = 244440	RA = 0	CY = 4	IPL = 0	CD = 0	4444 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2e9e	OPC = 8804b0	RA = 0	CY = 5	IPL = 0	CD = 0	4444 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ea0	OPC = 244440	RA = 0	CY = 6	IPL = 0	CD = 0	4444 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ea2	OPC = 8804c0	RA = 0	CY = 7	IPL = 0	CD = 0	4444 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ea4	OPC = 274440	RA = 0	CY = 8	IPL = 0	CD = 0	7444 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ea6	OPC = 8804d0	RA = 0	CY = 9	IPL = 0	CD = 0	7444 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ea8	OPC = 244740	RA = 0	CY = 10	IPL = 0	CD = 0	4474 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eaa	OPC = 8804f0	RA = 0	CY = 11	IPL = 0	CD = 0	4474 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eac	OPC = a8e081	RA = 0	CY = 12	IPL = 0	CD = 0	4474 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eae	OPC = 280004	RA = 0	CY = 13	IPL = 0	CD = 0	4474 0000 0000 0000 8000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eb0	OPC = 8810b4	RA = 0	CY = 14	IPL = 0	CD = 0	4474 0000 0000 0000 8000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eb2	OPC = 204004	RA = 0	CY = 15	IPL = 0	CD = 0	4474 0000 0000 0000 0400 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eb4	OPC = 8810c4	RA = 0	CY = 16	IPL = 0	CD = 0	4474 0000 0000 0000 0400 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eb6	OPC = 2000f4	RA = 0	CY = 17	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eb8	OPC = 8810f4	RA = 0	CY = 18	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eba	OPC = efa85a	RA = 0	CY = 19	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ebc	OPC = ef285c	RA = 0	CY = 20	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ebe	OPC = a90885	RA = 0	CY = 21	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ec0	OPC = a92885	RA = 0	CY = 22	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ec2	OPC = ef688f	RA = 0	CY = 23	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ec4	OPC = ef68a5	RA = 0	CY = 24	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ec6	OPC = ef68ab	RA = 0	CY = 25	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ec8	OPC = ef68af	RA = 0	CY = 26	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eca	OPC = a94885	RA = 0	CY = 27	IPL = 0	CD = 0	4474 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ecc	OPC = b3c640	RA = 0	CY = 28	IPL = 0	CD = 0	4464 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ece	OPC = b7e8b3	RA = 0	CY = 29	IPL = 0	CD = 0	4464 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ed0	OPC = b3c010	RA = 0	CY = 30	IPL = 0	CD = 0	4401 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ed2	OPC = b7e8be	RA = 0	CY = 31	IPL = 0	CD = 0	4401 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ed4	OPC = a96885	RA = 0	CY = 32	IPL = 0	CD = 0	4401 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ed6	OPC = a88885	RA = 0	CY = 33	IPL = 0	CD = 0	4401 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ed8	OPC = b3c640	RA = 0	CY = 34	IPL = 0	CD = 0	4464 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eda	OPC = b7e8bf	RA = 0	CY = 35	IPL = 0	CD = 0	4464 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2edc	OPC = b3c1e0	RA = 0	CY = 36	IPL = 0	CD = 0	441e 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ede	OPC = b7e8e0	RA = 0	CY = 37	IPL = 0	CD = 0	441e 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ee0	OPC = ef28e8	RA = 0	CY = 38	IPL = 0	CD = 0	441e 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ee2	OPC = ef28ea	RA = 0	CY = 39	IPL = 0	CD = 0	441e 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ee4	OPC = b3c070	RA = 0	CY = 40	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ee6	OPC = b7e8e1	RA = 0	CY = 41	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ee8	OPC = a9a885	RA = 0	CY = 42	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eea	OPC = a8c885	RA = 0	CY = 43	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eec	OPC = ef295e	RA = 0	CY = 44	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2eee	OPC = ef2960	RA = 0	CY = 45	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ef0	OPC = ef2962	RA = 0	CY = 46	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ef2	OPC = ef6927	RA = 0	CY = 47	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ef4	OPC = a9e885	RA = 0	CY = 48	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ef6	OPC = ef2964	RA = 0	CY = 49	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2ef8	OPC = a90966	RA = 0	CY = 50	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2efa	OPC = a92966	RA = 0	CY = 51	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2efc	OPC = a94966	RA = 0	CY = 52	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2efe	OPC = a96966	RA = 0	CY = 53	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2f00	OPC = ef296c	RA = 0	CY = 54	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2f02	OPC = ef296e	RA = 0	CY = 55	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2f04	OPC = a98966	RA = 0	CY = 56	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2f06	OPC = a9a966	RA = 0	CY = 57	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2f08	OPC = a9c966	RA = 0	CY = 58	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
PC = 2f0a	OPC = a9e966	RA = 0	CY = 59	IPL = 0	CD = 0	4407 0000 0000 0000 000f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0800 
